,date,IBM_open,IBM_high,IBM_low,IBM_close,IBM_volume,NASDAQ_open,NASDAQ_high,NASDAQ_low,NASDAQ_close,NASDAQ_Adj_close,NASDAQ_volume,SP_close,SP_Volume,SP_Open,SP_High,SP_low,interest_rate,gdp,yield_rate
0,2012-01-01,,,,,,,,,,,,,,,,,,16068.824,
1,2012-01-02,,,,,,,,,,,,1257.6,--,0.0,0.0,0.0,.,16068.824,
2,2012-01-03,124.5256,125.846,124.0388,124.2388,5646000.0,2657.389893,2665.899902,2641.97998,2648.719971,2648.719971,1636850000.0,1277.06,--,1258.86,1284.62,1258.86,2.01,16068.824,1.97
3,2012-01-04,123.752,124.2589,123.3319,123.732,4346700.0,2639.899902,2653.179932,2627.22998,2648.360107,2648.360107,1670530000.0,1277.3,--,1277.03,1278.73,1268.1,2.08,16068.824,2.00
4,2012-01-05,123.2452,123.3919,122.1048,123.1452,4463100.0,2642.570068,2673.560059,2631.22998,2669.860107,2669.860107,1836410000.0,1281.06,--,1277.3,1283.05,1265.26,2.12,16068.824,2.02
5,2012-01-06,122.9651,123.0251,121.578,121.7314,4897100.0,2671.169922,2682.120117,2658.830078,2674.219971,2674.219971,1683090000.0,1277.81,--,1280.93,1281.84,1273.34,2.09,16068.824,1.98
6,2012-01-07,,,,,,,,,,,,,,,,,,16068.824,
7,2012-01-08,,,,,,,,,,,,,,,,,,16068.824,
8,2012-01-09,121.5047,121.5513,120.2176,121.0979,5201200.0,2682.97998,2683.780029,2662.959961,2676.560059,2676.560059,1768080000.0,1280.7,--,1277.83,1281.99,1274.55,2.11,16068.824,1.98
9,2012-01-10,122.1915,122.5183,120.8378,120.9111,5161000.0,2704.419922,2712.5,2694.330078,2702.5,2702.5,1809500000.0,1292.08,--,1280.77,1296.46,1280.77,2.08,16068.824,2.00
10,2012-01-11,120.5244,121.9115,120.371,121.5847,4110800.0,2695.77002,2714.290039,2690.72998,2710.76001,2710.76001,1699660000.0,1292.48,--,1292.02,1293.8,1285.41,2.03,16068.824,1.93
11,2012-01-12,121.2779,121.3113,118.9572,120.4043,6881000.0,2716.870117,2726.429932,2697.320068,2724.699951,2724.699951,1669550000.0,1295.5,--,1292.48,1296.82,1285.77,2.04,16068.824,1.94
12,2012-01-13,119.6908,119.7775,118.2684,119.4774,5279200.0,2707.409912,2712.929932,2689.580078,2710.669922,2710.669922,1655960000.0,1289.09,--,1294.82,1294.82,1277.58,2.03,16068.824,1.89
13,2012-01-14,,,,,,,,,,,,,,,,,,16068.824,
14,2012-01-15,,,,,,,,,,,,,,,,,,16068.824,
15,2012-01-16,,,,,,,,,,,,1289.09,--,0.0,0.0,0.0,.,16068.824,.
16,2012-01-17,120.2776,121.3713,119.5841,120.0375,6003400.0,2736.340088,2742.72998,2721.030029,2728.080078,2728.080078,1664210000.0,1293.67,--,1290.22,1303.0,1290.22,2.04,16068.824,1.87
17,2012-01-18,119.9242,121.1045,119.7041,120.7511,4600600.0,2731.159912,2769.709961,2730.050049,2769.709961,2769.709961,1968940000.0,1308.04,--,1293.65,1308.11,1290.99,2.07,16068.824,1.92
18,2012-01-19,121.2312,121.6113,120.2709,120.3843,8567200.0,2779.73999,2793.350098,2777.169922,2788.330078,2788.330078,1959950000.0,1314.5,--,1308.07,1315.49,1308.07,2.01,16068.824,2.01
19,2012-01-20,123.8854,126.0194,123.2052,125.7193,12849700.0,2776.040039,2787.199951,2775.870117,2786.699951,2786.699951,1949660000.0,1315.38,--,1314.49,1315.38,1309.17,2.04,16068.824,2.05
20,2012-01-21,,,,,,,,,,,,,,,,,,16068.824,
21,2012-01-22,,,,,,,,,,,,,,,,,,16068.824,
22,2012-01-23,125.3125,127.0531,125.1525,126.6929,5751700.0,2786.209961,2804.98999,2769.820068,2784.169922,2784.169922,1652940000.0,1316.0,--,1315.29,1322.28,1309.89,2.07,16068.824,2.09
23,2012-01-24,125.7927,128.2434,125.722,127.9934,5345700.0,2771.580078,2788.379883,2766.340088,2786.639893,2786.639893,1620690000.0,1314.65,--,1315.96,1315.96,1306.06,2.09,16068.824,2.08
24,2012-01-25,127.5932,128.2,126.4462,127.86,4359700.0,2803.22998,2822.790039,2788.949951,2818.310059,2818.310059,1918040000.0,1326.06,--,1314.4,1328.3,1307.65,2.13,16068.824,2.01
25,2012-01-26,127.9,128.5669,127.0197,127.3598,4004700.0,2828.780029,2834.300049,2794.780029,2805.280029,2805.280029,1998970000.0,1318.43,--,1326.28,1333.47,1313.6,2.12,16068.824,1.96
26,2012-01-27,126.713,127.8867,126.5796,127.013,3360400.0,2797.659912,2821.550049,2797.23999,2816.550049,2816.550049,1707350000.0,1316.33,--,1318.25,1320.06,1311.72,2.11,16068.824,1.93
27,2012-01-28,,,,,,,,,,,,,,,,,,16068.824,
28,2012-01-29,,,,,,,,,,,,,,,,,,16068.824,
29,2012-01-30,126.2995,128.5269,125.5192,128.3735,4359000.0,2790.399902,2816.850098,2782.439941,2811.939941,2811.939941,1668970000.0,1313.01,--,1316.16,1316.16,1300.49,2.11,16068.824,1.87
30,2012-01-31,128.7669,128.7736,127.3732,128.4402,4826800.0,2825.76001,2830.449951,2798.77002,2813.840088,2813.840088,1786550000.0,1312.41,--,1313.53,1321.41,1306.69,2.11,16068.824,1.83
31,2012-02-01,128.847,129.914,128.3135,128.4535,5088800.0,2830.100098,2855.72998,2825.189941,2848.27002,2848.27002,2125720000.0,1324.09,--,1312.45,1330.52,1312.45,2.15,16068.824,1.87
32,2012-02-02,128.5202,128.927,127.5932,127.7266,3907300.0,2854.100098,2868.22998,2849.399902,2859.679932,2859.679932,1913430000.0,1325.54,--,1324.24,1329.19,1321.57,2.16,16068.824,1.86
33,2012-02-03,128.6602,129.4605,128.4001,129.1337,4521700.0,2888.949951,2908.129883,2885.840088,2905.659912,2905.659912,2152890000.0,1344.9,--,1326.21,1345.34,1326.21,2.18,16068.824,1.97
34,2012-02-04,,,,,,,,,,,,,,,,,,16068.824,
35,2012-02-05,,,,,,,,,,,,,,,,,,16068.824,
36,2012-02-06,128.3601,129.2137,128.04,128.5869,3639800.0,2892.52002,2903.030029,2887.330078,2901.98999,2901.98999,1684490000.0,1344.33,--,1344.32,1344.36,1337.52,2.19,16068.824,1.93
